"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
2004	"GUNSHOT INJURIES AS A TOPIC OF MEDICOLEGAL RESEARCH IN THE GERMAN-SPEAKING COUNTRIES FROM THE BEGINNING OF THE 20TH CENTURY UP TO THE PRESENT TIME"	"POLLAK S;ROTHSCHILD MA"	"GUNSHOT WOUNDS; WOUND BALLISTICS; MEDICOLEGAL RESEARCH"	"SKULL-BRAIN MODEL; MULTISLICE COMPUTED-TOMOGRAPHY; CLOSE-RANGE SHOTS;; HIGH-SPEED; MORPHOLOGICAL FEATURES; PENETRATING GUNSHOTS;; POLYVINYL-ALCOHOL; ENTRANCE WOUNDS; VIRTUAL AUTOPSY; HEAD"	"POLLAK, S (CORRESPONDING AUTHOR), UNIV FREIBURG, INST LEGAL MED, ALBERTSTR 9, D-79104 FREIBURG, GERMANY; UNIV FREIBURG, INST LEGAL MED, D-79104 FREIBURG, GERMANY; UNIV COLOGNE, INST MED LEGALE, D-50823 COLOGNE, GERMANY"	"10.1016/j.forsciint.2004.04.054"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"REVIEW"
2004	"HEMP FOOD PRODUCTS - A PROBLEM?"	"LACHENMEIER DW"	"HANFLEBENSMITTEL; FASERHANF; CANNABIS SATIVA L; CANNABINOIDE; TETRAHYDROCANNABINOL (THC); HEMP FOOD; FIBRE HEMP; CANNABIS SATIVA L; CANNABINOIDS; TETRAHYDROCANNABINOL (THC)"	"CANNABIS-SATIVA L; CHROMATOGRAPHY-MASS SPECTROMETRY; PRESSURE; LIQUID-CHROMATOGRAPHY; SOLID-PHASE MICROEXTRACTION; SEED OIL;; TETRAHYDROCANNABINOL CONTENT; DELTA(9)-THC CONTENT; HAIR SAMPLES; DRUG; TESTS; FIBER-TYPE"	"LACHENMEIER, DW (CORRESPONDING AUTHOR), CHEM \& VET UNTERSUCHUNGSAMT, CVUA, WEIBENBURGER STR 3, D-76187 KARLSRUHE, GERMANY; CHEM \& VET UNTERSUCHUNGSAMT, CVUA, D-76187 KARLSRUHE, GERMANY"	NA	"DEUTSCHE LEBENSMITTEL-RUNDSCHAU"	"WebOfScience"	"ARTICLE"
2004	"IDENTIFICATION OF GASOLINE SOOT IN SUSPECT ARSON CASES BY USING HEADSPACE SOLID PHASE MICROEXTRACTION-GC/MS"	"WU CH;CHEN CL;HUANG CT;LEE MR;HUANG CM"	"FORENSIC SCIENCE; HEADSPACE SOLID PHASE MICROEXTRACTION; GASOLINE; SOOT; ARSON; POLYCYCLIC AROMATIC HYDROCARBONS"	"POLYCYCLIC AROMATIC-HYDROCARBONS; ACCELERANTS; DEBRIS; RECOVERY; SAMPLES"	"LEE, MR (CORRESPONDING AUTHOR), NATL CHUNG HSING UNIV, DEPT CHEM, TAICHUNG, TAIWAN; NATL CHUNG HSING UNIV, DEPT CHEM, TAICHUNG, TAIWAN; CENT POLICE UNIV, DEPT FIRE SCI, TAOYUAN, TAIWAN; NATL FIRE ADM, MINIST INTERIOR, TAIPEI, TAIWAN"	"10.1081/AL-120035904"	"ANALYTICAL LETTERS"	"WebOfScience"	"ARTICLE"
2004	"IMPROVED METHOD FOR THE DETECTION OF TATP AFTER EXPLOSION"	"MULLER D;LEVY A;SHELEF R;ABRAMOVICH-BAR S;SONENFELD D;TAMIRI T"	"FORENSIC SCIENCE; POST-EXPLOSION ANALYSIS; TRIACETONE TRIPEROXIDE; SOLID-PHASE MICROEXTRACTION; GAS CHROMATOGRAPHY-MASS SPECTROMETRY; HEADSPACE; ADSORPTION"	"SOLID-PHASE MICROEXTRACTION; GAS-CHROMATOGRAPHY; RECOVERY; HEADSPACE;; CLEANUP; SAMPLES; SPME"	"MULLER, D (CORRESPONDING AUTHOR), ISRAEL POLICE NATL HEADQUARTERS, DIV IDENTIFICAT \& FORENS SCI, IL-91906 JERUSALEM, ISRAEL; ISRAEL POLICE NATL HEADQUARTERS, DIV IDENTIFICAT \& FORENS SCI, IL-91906 JERUSALEM, ISRAEL"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"PROCEEDINGS PAPER"
2004	"POTENTIAL OF MARKER-ASSISTED SELECTION IN HEMP GENETIC IMPROVEMENT"	"MANDOLINO G;CARBONI A"	"CANNABIS; BREEDING; FORENSIC; MARKER-ASSISTED SELECTION; MOLECULAR; MARKERS"	"CANNABIS-SATIVA; DNA MARKERS; MICROSATELLITE MARKERS; CANNABIGEROLIC; ACID; DIOECIOUS PLANT; SEX; IDENTIFICATION; AFLP; RAPD; POLYMORPHISMS"	"MANDOLINO, G (CORRESPONDING AUTHOR), IST SPERIMENTALE COLTURE IND, VIA CORTICELLA 133, I-40128 BOLOGNA, ITALY; IST SPERIMENTALE COLTURE IND, I-40128 BOLOGNA, ITALY"	"10.1007/s10681-004-4759-6"	"EUPHYTICA"	"WebOfScience"	"PROCEEDINGS PAPER"
2004	"QUANTITATIVE ANALYSIS AND CLASSIFICATION OF AFM IMAGES OF HUMAN HAIR"	"GURDEN SP;MONTEIRO VF;LONGO E;FERREIRA MMC"	"ATOMIC FORCE MICROSCOPY; CLASSIFICATION; CUTICLE; DISCRIMINANT ANALYSIS; HUMAN HAIR; PARTIAL LEAST SQUARES"	"ATOMIC-FORCE MICROSCOPY; DISCRIMINANT-ANALYSIS; CUTICLE; FIBERS"	"FERREIRA, MMC (CORRESPONDING AUTHOR), UNIV ESTADUAL CAMPINAS, DEPT CHEM, BR-13084862 CAMPINAS, SP, BRAZIL; UNIV ESTADUAL CAMPINAS, DEPT CHEM, BR-13084862 CAMPINAS, SP, BRAZIL; UNIV FED SAO CARLOS, INTERDISCIPLINARY LAB ELECTROCHEM \& CERAM, BR-13565905 SAO CARLOS, SP, BRAZIL"	"10.1111/j.0022-2720.2004.01350.x"	"JOURNAL OF MICROSCOPY"	"WebOfScience"	"ARTICLE"
2004	"RELIABILITY OF HIGH NA, UV NON-SOLARIZING OPTICAL FIBERS"	"SKUTNIK BJ;TREBST T;HARSCHACK A"	NA	"EXCIMER LASER WAVELENGTH; FUSED-SILICA FIBERS; TRANSMISSION PROPERTIES;; RADIATION; DEPENDENCE; DAMAGE"	"SKUTNIK, BJ (CORRESPONDING AUTHOR), CERAMOPTEC IND INC, 515A SHAKER RD, E LONGMEADOW, MA 01028 USA; CERAMOPTEC IND INC, E LONGMEADOW, MA 01028 USA"	"10.1117/12.555589"	"RELIABILITY OF OPTICAL FIBER COMPONENTS, DEVICES, SYSTEMS, AND NETWORKS II"	"WebOfScience"	"PROCEEDINGS PAPER"
2004	"SIMULTANEOUS DETERMINATION OF BARBITURATES IN HUMAN BIOLOGICAL FLUIDS BY DIRECT IMMERSION SOLID-PHASE MICROEXTRACTION AND GAS CHROMATOGRAPHY-MASS SPECTROMETRY"	"IWAI M;HATTORI H;ARINOBU T;ISHII A;KUMAZAWA H;NOGUCHI H;SUZUKI O;SENO H"	"BARBITURATES"	"SPME; PHENYTOIN; OVERDOSE; PLASMA; BLOOD; URINE"	"IWAI, M (CORRESPONDING AUTHOR), AICHI MED UNIV, SCH MED, DEPT LEGAL MED, NAGAKUTE, AICHI 4801195, JAPAN; AICHI MED UNIV, SCH MED, DEPT LEGAL MED, NAGAKUTE, AICHI 4801195, JAPAN; FUJITA HLTH UNIV, SCH MED, DEPT LEGAL MED, KUTSUKAKE, TOYOAKE 4701192, JAPAN; SHOWA UNIV, SCH MED, DEPT LEGAL MED, SHINAGAWA KU, TOKYO 1428555, JAPAN; AICHI MED UNIV HOSP, DEPT EMERGENCY \& CRIT CARE MED, NAGAKUTE, AICHI 4801195, JAPAN; AICHI MED UNIV HOSP, DEPT ADV CRIT CARE CTR, NAGAKUTE, AICHI 4801195, JAPAN; HAMAMATSU UNIV SCH MED, DEPT LEGAL MED, HAMAMATSU, SHIZUOKA 4313192, JAPAN"	"10.1016/j.jchromb.2004.03.016"	"JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES"	"WebOfScience"	"PROCEEDINGS PAPER"
2004	"SOLID-PHASE MICROEXTRACTION: A POWERFUL SAMPLE PREPARATION TOOL PRIOR TO MASS SPECTROMETRIC ANALYSIS"	"VAS G;VEKEY K"	"SOLID-PHASE MICROEXTRACTION; GAS CHROMATOGRAPHY; GAS CHROMATOGRAPHY/MASS; SPECTROMETRY; HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY; HIGH-PERFORMANCE; LIQUID CHROMATOGRAPHY/MASS SPECTROMETRY; SOLID-PHASE; MICROEXTRACTION/MATRIX-ASSISTED LASER DESORPTION/IONIZATION MASS; SPECTROMETRY; CAPILLARY ELECTROPHORESIS/MASS SPECTROMETRY; HEADSPACE; ENVIRONMENTAL CHEMISTRY; FOOD ANALYSIS; WINE; PHARMACEUTICALS; PHARMAKOKINETICS; FORENSIC ANALYSIS"	"PERFORMANCE LIQUID-CHROMATOGRAPHY; CAPILLARY GAS-CHROMATOGRAPHY;; VOLATILE ORGANIC-COMPOUNDS; POLYCYCLIC AROMATIC-HYDROCARBONS;; ETHOXY-CHAIN NONYLPHENOLS; WINE BOUQUET COMPONENTS; FAST SCREENING; METHOD; ACID ETHYL-ESTERS; MICRO-EXTRACTION; WATER SAMPLES"	"VAS, G (CORRESPONDING AUTHOR), UNIV ANTWERP, DEPT BIOMED MASS SPECTROMETRY, UNIV PLEIN 1, B-2610 ANTWERP, BELGIUM; UNIV ANTWERP, DEPT BIOMED MASS SPECTROMETRY, B-2610 ANTWERP, BELGIUM; HUNGARIAN ACAD SCI, CHEM RES CTR CHEM, H-1067 BUDAPEST, HUNGARY"	"10.1002/jms.606"	"JOURNAL OF MASS SPECTROMETRY"	"WebOfScience"	"REVIEW"
2004	"TEXTILE DAMAGE CAUSED BY VAPOUR CLOUD EXPLOSIONS"	"WAS-GUBALA J;KRAUSS W"	"FORENSIC SCIENCE; CRIMINALISTICS; TEXTILE; DAMAGE; VAPOUR CLOUD; EXPLOSION"	NA	"WAS-GUBALA, J (CORRESPONDING AUTHOR), INST FORENS RES, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; INST FORENS RES, PL-31033 KRAKOW, POLAND; LANDESKRIMINALAMT BADEN WURTTEMBERG, FORENS SCI INST, D-70372 STUTTGART, GERMANY"	"10.1016/S1355-0306(04)71720-7"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2004	"THE POPULATION OF COLOURED FIBRES IN HUMAN HEAD HAIR"	"PALMER R;OLIVER S"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES; HEAD HAIR; POPULATION STUDY; TAPING; RECOVERY; TARGET FIBRE STUDY"	"SIMULATED CONTACTS; CLOTHING MATERIALS; CAR SEATS; TEXTILE FIBERS;; TARGET FIBER; PERSISTENCE; WEAR"	"PALMER, R (CORRESPONDING AUTHOR), ARMED FORCES, DNA IDENTIF LAB, 1413 RES BLVD,BLG 101, ROCKVILLE, MD 20850 USA; FORENS SCI SERV INC, HUNTINGDON PE29 6NU, CAMBS, ENGLAND; UNIV STRATHCLYDE, FORENS SCI UNIT, GLASGOW G1 1XL, LANARK, SCOTLAND"	"10.1016/S1355-0306(04)71693-7"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2004	"THE PRACTICAL APPLICATION OF REFLECTANCE SPECTROPHOTOMETRY FOR THE DEMONSTRATION OF HAEMOGLOBIN AND ITS DEGRADATION IN BRUISES"	"HUGHES VK;ELLIS PS;BURT T;LANGLOIS NEI"	NA	"HEME OXYGENASE; SKIN COLOR; BILIRUBIN; COLORIMETER; HYPOSTASIS;; PIGMENTS; FERRITIN; INJURY; ENZYME; TIME"	"LANGLOIS, NEI (CORRESPONDING AUTHOR), WESTMEAD HOSP, WESTMEAD DEPT FORENS MED, MORTUARY,LEVEL 1 ICP MR,POB 533, WENTWORTHVILLE, NSW 2145, AUSTRALIA; UNIV SYDNEY, WESTMEAD DEPT FORENS MED, WENTWORTHVILLE, NSW 2145, AUSTRALIA; VARIAN AUSTRALIA PTY LTD, MULGRAVE, VIC 3170, AUSTRALIA"	"10.1136/jcp.2003.011445"	"JOURNAL OF CLINICAL PATHOLOGY"	"WebOfScience"	"ARTICLE"
2004	"THE VIABILITY AND POSSIBLE APPLICATIONS OF HIGH RESOLUTION MARK REPLICATOR CASTING COMPOUND IN DOCUMENT EXAMINATION"	"HIGGINS K;WALKER JDS"	"FORENSIC SCIENCE; DOCUMENT EXAMINATION; INDENTATIONS; MARK REPLICATORS; FINGERPRINTS; TYPEWRITERS; PAPER FIBRE TRANSFER"	NA	"WALKER, JDS (CORRESPONDING AUTHOR), NEW ZEALAND POLICE DOCUMENT EXAMINAT SECT, OFF COMMISSIONER, POB 693, WELLINGTON, NEW ZEALAND; NEW ZEALAND POLICE DOCUMENT EXAMINAT SECT, OFF COMMISSIONER, WELLINGTON, NEW ZEALAND; UNIV GLAMORGAN, SCH APPL SCI, TREFOREST CF37 1DL, M GLAM, WALES"	"10.1016/S1355-0306(04)71679-2"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2005	"A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES"	"WIGGINS KG;HOLNESS JA"	"FORENSIC SCIENCE; DYE BATCH VARIATION; FIBRE; COMPARISON MICROSCOPY; VISIBLE LIGHT MICROSPECTROPHOTOMETRY; UV MICROSPECTROPHOTOMETRY; THIN; LAYER CHROMATOGRAPHY"	NA	"WIGGINS, K (CORRESPONDING AUTHOR), LONDON LAB, FORENS SCI SERV, 109 LAMBERTH RD, LONDON SE1 7LP, ENGLAND; LONDON LAB, FORENS SCI SERV, LONDON SE1 7LP, ENGLAND"	"10.1016/S1355-0306(05)71634-8"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2005	"A QUANTITATIVE DIFFERENTIATION METHOD FOR ACRYLIC FIBERS BY INFRARED SPECTROSCOPY"	"CAUSIN V;MAREGA C;SCHIAVONE S;MARIGO A"	"FORENSIC SCIENCE; FIBERS; COPOLYMERS; ACRYLICS; POLYACRYLONITRILE; INFRARED SPECTROSCOPY; X-RAY DIFFRACTION; CRYSTALLINITY"	"FORENSIC ANALYSIS; COPOLYMER FIBERS; CRIME SCENE; MICROSCOPY;; POLYACRYLONITRILE; BEHAVIOR; SCIENCE; SYSTEM"	"CAUSIN, V (CORRESPONDING AUTHOR), UNIV PADUA, DIPARTIMENTO SCI CHIM, VIA MARZOLO 1, I-35131 PADUA, ITALY; UNIV PADUA, DIPARTIMENTO SCI CHIM, I-35131 PADUA, ITALY; SEZ CHIM ESPLOSIVI \& INFIAMMABILI, REPARTO CARABINIERI INVEST SCI, I-00191 ROME, ITALY"	"10.1016/j.forsciint.2005.02.004"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2005	"A TARGET GLITTER STUDY"	"AARDAHL K;KIRKOWSKI S;BLACKLEDGE RD"	"FORENSIC SCIENCE; CRIMINALISTICS; GLITTER TRANSFER; TRACE EVIDENCE; TARGET STUDIES"	"TEXTILE FIBERS; CAR SEATS; POPULATION; MEMBERS; HANDS; GLASS"	"BLACKLEDGE, RD (CORRESPONDING AUTHOR), NAVAL CRIMINAL INVEST SERV REG FORENS LAB, 3405 WELLES ST STE 3, SAN DIEGO, CA 92136 USA; NAVAL CRIMINAL INVEST SERV REG FORENS LAB, SAN DIEGO, CA 92136 USA"	"10.1016/S1355-0306(05)71615-4"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2005	"ADVANCES IN CHEMISTRY APPLIED TO FORENSIC SCIENCE"	"RENDLE DF"	NA	"RESIDUE PARTICLES; TEXTILE FIBERS; SPECTROMETRY; IDENTIFICATION;; POPULATION; INKS"	"RENDLE, DF (CORRESPONDING AUTHOR), 9 WILTSHIRE DR, WOKINGHAM RG40 1TQ, BERKS, ENGLAND; CRANFIELD UNIV, SHRIVENHAM, ENGLAND"	"10.1039/b415890n"	"CHEMICAL SOCIETY REVIEWS"	"WebOfScience"	"REVIEW"
2005	"ANALYSIS OF FIBER DYES BY LIQUID CHROMATOGRAPHY MASS SPECTROMETRY (LC-MS) WITH ELECTROSPRAY IONIZATION: DISCRIMINATING BETWEEN DYES WITH INDISTINGUISHABLE UV-VISIBLE ABSORPTION SPECTRA"	"HUANG M;RUSSO R;FOOKES BG;SIGMAN ME"	"FORENSIC SCIENCE; FIBER DYE IDENTIFICATION; LIQUID CHROMATOGRAPHY MASS; SPECTROMETRY; UV/VISIBLE DETECTION"	"AZO DYES; SULFONATED DYES; TEXTILE FIBERS; THERMOSPRAY"	"SIGMAN, ME (CORRESPONDING AUTHOR), UNIV CENT FLORIDA, DEPT CHEM, POB 162367, ORLANDO, FL 32816 USA; UNIV CENT FLORIDA, DEPT CHEM, ORLANDO, FL 32816 USA; UNIV CENT FLORIDA, NATL CTR FORENS SCI, ORLANDO, FL 32816 USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"PROCEEDINGS PAPER"
2005	"ANALYSIS OF GAMMA-HYDROXYBUTYRIC ACID (GHB) IN SPIKED WATER AND BEVERAGE SAMPLES USING SOLID PHASE MICROEXTRACTION (SPME) ON FIBER DERIVATIZATION/GAS CHROMATOGRAPHY-MASS SPECTROMETRY (GC/MS)"	"MEYERS JE;ALMIRALL JR"	"FORENSIC SCIENCE; GAMMA-HYDROXYBUTYRIC ACID; GAMMA-BUTYROLACTONE; SOLID; PHASE MICROEXTRACTION; ON-FIBER DERIVATIZATION; GAS CHROMATOGRAPHY/MASS; SPECTROMETRY; DRUG FACILITATED SEXUAL ASSAULT; INTERCONVERSION"	"BUTYROLACTONE GBL; GAS CHROMATOGRAPHY; URINE"	"MEYERS, JE (CORRESPONDING AUTHOR), FLORIDA INT UNIV, DEPT CHEM, INT FORENS RES INST, MIAMI, FL 33199 USA; FLORIDA INT UNIV, DEPT CHEM, INT FORENS RES INST, MIAMI, FL 33199 USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"PROCEEDINGS PAPER"
2005	"APPLICATION OF SOLID PHASE MICROEXTRACTION TO THE DETERMINATION OF STRYCHNINE IN BLOOD"	"BARROSO M;GALLARDO E;MARGALHO C;AVILA S;MARQUES EP;VIEIRA DN;LOPEZ-RIVADULLA A"	"SOLID-PHASE MICROEXTRACTION; STRYCHNINE"	"LIQUID-CHROMATOGRAPHIC DETERMINATION; GAS-CHROMATOGRAPHY;; MASS-SPECTROMETRY; ORGANOPHOSPHORUS PESTICIDES; TISSUES; SAMPLES;; AMPHETAMINES; OPTIMIZATION; PLASMA; URINE"	"BARROSO, A (CORRESPONDING AUTHOR), DELEGACAO COIMBRA, INST NACL MED LEGAL, LARGO SE NOVA, P-3000213 COIMBRA, PORTUGAL; DELEGACAO COIMBRA, INST NACL MED LEGAL, P-3000213 COIMBRA, PORTUGAL; INST MED LEGALE, SANTIAGO DE COMPOSTELA 15782, SPAIN"	"10.1016/j.jchromb.2004.10.071"	"JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES"	"WebOfScience"	"ARTICLE"
2005	"BURIAL LOCATION USING CHEAP AND RELIABLE QUANTITATIVE PROBE MEASUREMENTS"	"RUFFELL A"	"PROBE; DOUGLAS OWSLEY; SOIL DENSITY; GEOSCIENCE; FORENSIC; REMOTE; SENSING"	NA	"RUFFELL, A (CORRESPONDING AUTHOR), QUEENS UNIV BELFAST, SCH GEOG, BELFAST BT7 1NN, ANTRIM, NORTH IRELAND; QUEENS UNIV BELFAST, SCH GEOG, BELFAST BT7 1NN, ANTRIM, NORTH IRELAND"	"10.1016/j.forsciint.2004.12.036"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2005	"DISCRIMINATION OF NYLON POLYMERS USING ATTENUATED TOTAL REFLECTION MID-INFRARED SPECTRA AND MULTIVARIATE STATISTICAL TECHNIQUES"	"ENLOW EM;KENNEDY JL;NIEUWLAND AA;HENDRIX JE;MORGAN SL"	"INTERNAL REFLECTION SPECTROSCOPY; ATTENUATED TOTAL REFLECTION; ATR; FOURIER TRANSFORM INFRARED; FT-IR; NYLON; DISCRIMINANT ANALYSIS"	"INFRARED MICROSCOPY; FORENSIC ANALYSIS; DATA-BASE; FIBERS;; IDENTIFICATION; SPECTROSCOPY"	"MORGAN, SL (CORRESPONDING AUTHOR), UNIV S CAROLINA, DEPT CHEM \& BIOCHEM, COLUMBIA, SC 29208 USA; UNIV S CAROLINA, DEPT CHEM \& BIOCHEM, COLUMBIA, SC 29208 USA"	"10.1366/0003702054615142"	"APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
2005	"EMPLOYING GLASS REFRACTIVE INDEX MEASUREMENT (GRIM) IN FIBER ANALYSIS: A SIMPLE METHOD FOR EVALUATING THE CRYSTALLINITY OF ACRYLICS"	"CAUSIN V;MAREGA C;SCHIAVONE S;MARIGO A"	"FORENSIC SCIENCE; FIBERS; ACRYLICS; REFRACTIVE INDEX; CRYSTALLINITY; DEGREE"	"X-RAY; MICROSCOPY; POLYACRYLONITRILE; BEHAVIOR"	"CAUSIN, V (CORRESPONDING AUTHOR), UNIV PADUA, DIPARTIMENTO SCI CHIM, VIA MARZOLO 1, I-35131 PADUA, ITALY; UNIV PADUA, DIPARTIMENTO SCI CHIM, I-35131 PADUA, ITALY; REPARTO CARABINIERI INVEST SCI, SEZ CHIM ESPLOSIVI \& INFIAMMABILI, I-00191 ROME, ITALY"	"10.1016/j.forsciint.2004.06.015"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2005	"EVALUATION OF RAMAN SPECTROSCOPY FOR THE ANALYSIS OF COLORED FIBERS: A COLLABORATIVE STUDY"	"MASSONNET G;BUZZINI P;JOCHEM G;STAUBER M;COYLE TJ;ROUX CP;THOMAS J;LEIJENHORST HAL;VAN ZANTEN Z;RUSSELL C;CHABLI S;ROSENGARTEN A"	"FORENSIC SCIENCE; RAMAN SPECTROSCOPY; COMPARISON STUDY; LASER; WAVELENGTH; FIBERS; ACRYLIC; WOOL; DYES; DYE IDENTIFICATION; SERRS"	"SERRS SPECTROSCOPY; FORENSIC ANALYSIS; IDENTIFICATION; MICROSCOPY; DYES;; INKS"	"MASSONNET, G (CORRESPONDING AUTHOR), UNIL, INST POLICE SCI, ECOLE SCI CRIMINELLES, BATIMENT CHIM, CH-1015 LAUSANNE, SWITZERLAND; UNIL, INST POLICE SCI, ECOLE SCI CRIMINELLES, CH-1015 LAUSANNE, SWITZERLAND; KRIMINALTECH INST, LANDESKRIMINALAMT SACHSEN, D-01129 DRESDEN, GERMANY; BUNDESKRIMINALAMT, D-65193 WIESBADEN, GERMANY; KTI, LANDESKRIMINALAMT NORDRHEIN WESTFALEN, D-40221 DUSSELDORF, GERMANY; FORENS ALLIANCE LTD, CULHAM SCI CTR F5, ABINGDON OX14 3ED, OXON, ENGLAND; UNIV TECHNOL SYDNEY, CTR FORENS SCI, SYDNEY, NSW 2007, AUSTRALIA; NETHERLANDS FORENS INST, NL-2490 AA THE HAGUE, NETHERLANDS; FORENS SCI SERV INC, LONDON LAB, LONDON SE1 7LP, ENGLAND; LAB POLICE SCI, F-75001 PARIS, FRANCE; ISRAEL POLICE NATL HQ, FIBERS \& POLYMERS LAB, IL-91906 JERUSALEM, ISRAEL"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2005	"FORENSIC VALUE OF PATTERN AND PARTICLE TRANSFERS FROM DEPLOYED AUTOMOTIVE AIRBAG CONTACT"	"SCHUBERT GD"	"FORENSIC SCIENCE; AIRBAGS; AIRBAG DEPLOYMENT; SINGE PATTERN; PATTERN; TRANSFER; STARCH PARTICLES; PARTICLE TRANSFER"	"INJURIES"	"SCHUBERT, GD (CORRESPONDING AUTHOR), SO ILLINOIS FORENS SCI CTR, ILLINOIS STATE POLICE, FORENS SCI COMMAND, 606 E COLL ST, CARBONDALE, IL 62901 USA; SO ILLINOIS FORENS SCI CTR, ILLINOIS STATE POLICE, FORENS SCI COMMAND, CARBONDALE, IL 62901 USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"PROCEEDINGS PAPER"
2005	"INSECT INFESTATION OF THE CORPSE AS A SOURCE OF KNOWLEDGE IN FORENSIC MEDICINE"	"BENECKE M"	NA	NA	"BENECKE, M (CORRESPONDING AUTHOR), INT FORENS RES \& CONSULTING, POSTFACH 250411, D-50520 COLOGNE, GERMANY; INT FORENS RES \& CONSULTING, D-50520 COLOGNE, GERMANY"	NA	"ZEITSCHRIFT FUR SEMIOTIK"	"WebOfScience"	"ARTICLE"
2005	"PRACTICAL TIPS ON PREPARING PLASMA SAMPLES FOR DRUG ANALYSIS USING SPME"	"QUEIROZ MEC;LANCAS FM"	NA	"SOLID-PHASE MICROEXTRACTION; BAR SORPTIVE EXTRACTION;; CHROMATOGRAPHY-MASS SPECTROMETRY; CAPILLARY GAS-CHROMATOGRAPHY;; LIQUID-CHROMATOGRAPHY; ORGANOPHOSPHORUS PESTICIDES; MICRO-EXTRACTION;; GC-MS; URINE; ASSAY"	"QUEIROZ, MEC (CORRESPONDING AUTHOR), LCGC EUROPE, ADVANSTAR HOUSE,PK WEST,SEALAND RD, CHESTER CH1 4RN, CHESHIRE, ENGLAND; AGILENT TECHNOL WILMINGTON, CONSUMABLES \& ACCESSORIES BUSINESS UNIT, DELAWARE, OH USA; UNIV SAO PAULO, DEPT CHEM, SAO PAULO, BRAZIL"	NA	"LC-GC EUROPE"	"WebOfScience"	"EDITORIAL MATERIAL"
2005	"RAMAN SPECTROSCOPY AND THE FORENSIC ANALYSIS OF BLACK/GREY AND BLUE COTTON FIBRES - PART 1. INVESTIGATION OF THE EFFECTS OF VARYING LASER WAVELENGTH"	"THOMAS J;BUZZINI P;MASSONNET G;REEDY BJ;ROUX CP"	"FORENSIC FIBRE ANALYSIS; RAMAN SPECTROSCOPY; REACTIVE DYE; BLUE COTTON; FLUORESCENCE; DEGRADATION; LASER WAVELENGTH"	"IDENTIFICATION; MICROSCOPY"	"THOMAS, J (CORRESPONDING AUTHOR), UNIV TECHNOL SYDNEY, CTR FORENS SCI, POB 123, SYDNEY, NSW 2007, AUSTRALIA; UNIV TECHNOL SYDNEY, CTR FORENS SCI, SYDNEY, NSW 2007, AUSTRALIA; UNIV LAUSANNE, SCH FORENS SCI, BCH, CH-1015 LAUSANNE, SWITZERLAND"	"10.1016/j.forsciint.2004.08.009"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2005	"REMOVING INTERFERING CONTAMINATIONS FROM GELATIN LIFTERS"	"SHOR Y;TSACH T;WIESNER S;MEIR G"	"FORENSIC SCIENCE; PRESS METHOD; GELATIN LIFTER; ADHESIVE LIFTER; SHOEPRINTS"	"ENHANCEMENT; SHOEPRINTS"	"SHOR, Y (CORRESPONDING AUTHOR), ISRAEL POLICE HEADQUARTERS, DIFS, TOOLMARKS \& MAT LAB, IL-91906 JERUSALEM, ISRAEL; ISRAEL POLICE HEADQUARTERS, DIFS, TOOLMARKS \& MAT LAB, IL-91906 JERUSALEM, ISRAEL; ISRAEL POLICE HEADQUARTERS, DIFS, PHOTOG LAB, IL-91906 JERUSALEM, ISRAEL"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
