"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"AIK"
"A QUANTITATIVE DIFFERENTIATION METHOD FOR ACRYLIC FIBERS BY INFRARED SPECTROSCOPY"	2005	"CAUSIN V;MAREGA C;SCHIAVONE S;MARIGO A"	"FORENSIC SCIENCE; FIBERS; COPOLYMERS; ACRYLICS; POLYACRYLONITRILE; INFRARED SPECTROSCOPY; X-RAY DIFFRACTION; CRYSTALLINITY"	"FORENSIC ANALYSIS; COPOLYMER FIBERS; CRIME SCENE; MICROSCOPY;; POLYACRYLONITRILE; BEHAVIOR; SCIENCE; SYSTEM"	"ACRYLICS;  COPOLYMERS;  CRYSTALLINITY;  FIBERS;  FORENSIC SCIENCE;  INFRARED SPECTROSCOPY;  POLYACRYLONITRILE;  X-RAY DIFFRACTION"	"ACRYLIC ACID;CARBON;CARBONYL DERIVATIVE;HYDROGEN;MONOMER;NITRILE;POLYMER;ARTICLE;CHEMICAL BOND;INFRARED SPECTROSCOPY;MEASUREMENT;PRIORITY JOURNAL;QUANTITATIVE ANALYSIS;TEXTILE FIBER"	"CAUSIN, V (CORRESPONDING AUTHOR), UNIV PADUA, DIPARTIMENTO SCI CHIM, VIA MARZOLO 1, I-35131 PADUA, ITALY; UNIV PADUA, DIPARTIMENTO SCI CHIM, I-35131 PADUA, ITALY; SEZ CHIM ESPLOSIVI \& INFIAMMABILI, REPARTO CARABINIERI INVEST SCI, I-00191 ROME, ITALY"	"DIPARTIMENTO DI SCIENZE CHIMICHE DELL'UNIVERSIT,VIA MARZOLO 1,35131 PADOVA,ITALY; SEZIONE DI CHIMICA,ESPLOSIVI ED INFIAMMABILI,REPARTO CARABINIERI INVESTIGAZIONI SCIENTIFICHE,VIALE TOR DI QUINTO 151,00191 ROMA,ITALY"	"DIPARTIMENTO DI SCIENZE CHIMICHE DELL'UNIVERSIT,VIA MARZOLO 1,35131 PADOVA,ITALY; SEZIONE DI CHIMICA,ESPLOSIVI ED INFIAMMABILI,REPARTO CARABINIERI INVESTIGAZIONI SCIENTIFICHE,VIALE TOR DI QUINTO 151,00191 ROMA,ITALY"	"10.1016/j.forsciint.2005.02.004"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FIBERS;COPOLYMERS;ACRYLICS;POLYACRYLONITRILE;INFRARED SPECTROSCOPY;X-RAY DIFFRACTION;CRYSTALLINITY"
"A REAL-TIME COLOR IMAGE PROCESSING SYSTEM FOR FORENSIC FIBER INVESTIGATIONS"	1999	"PAULSSON N;STOCKLASSA B"	"FORENSIC SCIENCE; FIBER; IMAGE PROCESSING; MACHINE VISION; COLOR"	""	"COLOR;  FIBER;  FORENSIC SCIENCE;  IMAGE PROCESSING;  MACHINE VISION"	"ARTICLE;CAMERA;COLOR;FIBER;FORENSIC SCIENCE;IMAGE PROCESSING;PRIORITY JOURNAL;TECHNIQUE;TEXTILE"	"PAULSSON, N (CORRESPONDING AUTHOR), SKL, NATL LAB FORENS SCI, S-58194 LINKOPING, SWEDEN; SKL, NATL LAB FORENS SCI, S-58194 LINKOPING, SWEDEN"	"SKL - NATL. LAB. OF FORENSIC SCIENCE,S-58 1 94,LINKPING,SWEDEN"	"SKL - NATL. LAB. OF FORENSIC SCIENCE,S-58 1 94,LINKPING,SWEDEN"	"10.1016/S0379-0738(99)00046-8"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FIBER;IMAGE PROCESSING;MACHINE VISION;COLOR"
"A REPLY TO: THE TRANSFERABILITY OF DIATOMS TO CLOTHING AND THE METHODS APPROPRIATE FOR THEIR COLLECTION AND ANALYSIS IN FORENSIC GEOSCIENCE, FORENSIC SCI. INT. 241 (2014) 127-137"	2015	"DRAGUTINOVIC A;UITDEHAAG S;KUIPER I"	""	""	"CLOTHING;  DIATOMS;  FORENSIC GEOSCIENCE;  SURFACE WATER;  TRACE EVIDENCE;  TRANSFER"	"ALCOHOL;HYDROGEN PEROXIDE;WATER;CLOTHING;DIATOM;EXTRACTION;FIBER;FLASK SHAKER;FOAMING;FORENSIC SCIENCE;INTERMETHOD COMPARISON;LETTER;MEDICAL DEVICE;NONHUMAN;PHYSICAL PARAMETERS;RINSING WITH ETHANOL METHOD;RINSING WITH WATER METHOD;SHAKER;HUMAN;LABORATORY DIAGNOSIS;PROCEDURES;DIATOMS;HUMANS;SPECIMEN HANDLING"	NA	"NETHERLANDS FORENSIC INSTITUTE,LAAN VAN YPENBURG 6,GB THE HAGUE,2497,NETHERLANDS"	"NETHERLANDS FORENSIC INSTITUTE,LAAN VAN YPENBURG 6,GB THE HAGUE,2497,NETHERLANDS"	"10.1016/j.forsciint.2014.11.018"	"FORENSIC SCIENCE INTERNATIONAL"	"LETTER"	"Scopus"	";CLOTHING;DIATOMS;FORENSIC GEOSCIENCE;SURFACE WATER;TRACE EVIDENCE;TRANSFER"
"A SENSITIVE HPLC-MS/MS METHOD FOR THE ANALYSIS OF FIBER DYES"	2018	"HU C;ZHU J;MEI H;SHI H;GUO H;ZHANG G;WANG P;LU L;ZHENG X"	"FORENSIC SCIENCE; FIBER DYES; HPLC-MS/MS; SENSITIVITY"	"LIQUID-CHROMATOGRAPHY; FORENSIC ANALYSIS; TEXTILE FIBERS;; MASS-SPECTROMETRY; COTTON FIBERS; IDENTIFICATION; EXTRACTION;; MICROSPECTROPHOTOMETRY; YELLOW"	"FIBER DYES;  FORENSIC SCIENCE;  HPLC-MS/MS;  SENSITIVITY"	"NA"	"ZHU, J (CORRESPONDING AUTHOR), MINIST PUBL SECUR, INST FORENS SCI, BEIJING 100038, PEOPLES R CHINA; HU, CAN; ZHU, JUN; MEI, HONGCHENG; SHI, HUIXIA; GUO, HONGLING; ZHANG, GUANNAN; WANG, PING; LU, LIANG; ZHENG, XIAOYU, MINIST PUBL SECUR, INST FORENS SCI, BEIJING 100038, PEOPLES R CHINA"	"INSTITUTE OF FORENSIC SCIENCE,MINISTRY OF PUBLIC SECURITY,BEIJING,100038,CHINA"	"INSTITUTE OF FORENSIC SCIENCE,MINISTRY OF PUBLIC SECURITY,BEIJING,100038,CHINA"	"10.1016/j.forc.2018.08.001"	"FORENSIC CHEMISTRY"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FIBER DYES;HPLC-MS/MS;SENSITIVITY"
"A SIMPLE HIGH-PRESSURE ANVIL AND TEMPLATE DEVICE FOR THE PRODUCTION OF INFRARED-SPECTRA FROM MICROFIBER SAMPLES"	1992	"WHITE GW"	"FORENSIC SCIENCE; INFRARED SPECTRA; FIBERS; SYNTHETIC FIBERS; ANVIL; MICROINFRARED SPECTRA; ACRYLIC; MODACRYLIC; NYLON; POLYESTER; POLYETHYLENE; RAYON; ACETATE; POLYPROPYLENE"	""	"ACETATE;  ACRYLIC;  ANVIL;  FIBERS;  FORENSIC SCIENCE;  INFRARED SPECTRA;  MICROINFRARED SPECTRA;  MODACRYLIC;  NYLON;  POLYESTER;  POLYETHYLENE;  POLYPRO PYLENE;  RAYON;  SYNTHETIC FIBERS"	"ACETIC ACID;POLYACRYLIC ACID;POLYESTER;POLYETHYLENE;POLYPROPYLENE;ARTICLE;DEVICE;FORENSIC SCIENCE;INFRARED SPECTROMETRY;MICROANALYSIS;NYLON FIBER;OPTICAL DENSITY;PRIORITY JOURNAL"	"GOVT CHEM LABS,FORENS CHEM SECT,ARCHERFIELD,QLD 4108,AUSTRALIA"	"FORENSIC CHEMISTRY SECTION,GOVERNMENT CHEMICAL LABORATORY,P.O. BOX 594,ARCHERFIELD,QLD 4108,AUSTRALIA"	"FORENSIC CHEMISTRY SECTION,GOVERNMENT CHEMICAL LABORATORY,P.O. BOX 594,ARCHERFIELD,QLD 4108,AUSTRALIA"	"10.1520/jfs13270j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;INFRARED SPECTRA;FIBERS;SYNTHETIC FIBERS;ANVIL;MICROINFRARED SPECTRA;ACRYLIC;MODACRYLIC;NYLON;POLYESTER;POLYETHYLENE;RAYON;ACETATE;POLYPROPYLENE;POLYPRO PYLENE"
"A SIMPLE SOLUBILITY TESTS FOR THE DISCRIMINATION OF ACRYLIC AND MODACRYLIC FIBERS"	2014	"SUGA K;NARITA Y;SUZUKI S"	"TRACE PHYSICAL EVIDENCE; DISSOLUTION TEST; FORENSIC SCIENCE; ACRYLIC; FIBER; N;N-DIMETHYLFORMAMIDE; MODACRYLIC; FIBER"	""	"ACRYLIC FIBER;  DISSOLUTION TEST;  FIBER;  FORENSIC SCIENCE;  MODACRYLIC;  N;N-DIMETHYLFORMAMIDE;  TRACE PHYSICAL EVIDENCE"	"NA"	"SUZUKI, S (CORRESPONDING AUTHOR), NATL RES INST POLICE SCI, 6-3-1 KASHIWANOHA, KASHIWA, CHIBA 2770882, JAPAN; SUGA, KEISUKE, KAGAWA PREFECTURE POLICE HQ, FORENS SCI LAB, TAKAMATSU, KAGAWA 760857, JAPAN; NARITA, YUJI, HOKKAIDO PREFECTURE POLICE HQ, HAKODATE BRANCH, FORENS SCI LAB, HAKODATE, HOKKAIDO 0408511, JAPAN; SUZUKI, SHINICHI, NATL RES INST POLICE SCI, KASHIWA, CHIBA 2770882, JAPAN"	"FORENSIC SCIENCE LABORATORY,KAGAWA PREFECTURE POLICE H.Q.,4-1-10 BANCHO,TAKAMATSU-SHI,KAGAWA PREFECTURE,760-857,JAPAN; FORENSIC SCIENCE LABORATORY,HAKODATE BRANCH OF HOKKAIDO PREFECTURE POLICE H.Q.,15-5 GORYOKAKU-CHO,HAKODATE-SHI,HOKKAIDO,040-8511,JAPAN; NATIONAL RESEARCH INSTITUTE OF POLICE SCIENCE,6-3-1 KASHIWANOHA,KASHIWA-SHI,CHIBA-PREFECTURE,277-0882,JAPAN"	"FORENSIC SCIENCE LABORATORY,KAGAWA PREFECTURE POLICE H.Q.,4-1-10 BANCHO,TAKAMATSU-SHI,KAGAWA PREFECTURE,760-857,JAPAN; FORENSIC SCIENCE LABORATORY,HAKODATE BRANCH OF HOKKAIDO PREFECTURE POLICE H.Q.,15-5 GORYOKAKU-CHO,HAKODATE-SHI,HOKKAIDO,040-8511,JAPAN; NATIONAL RESEARCH INSTITUTE OF POLICE SCIENCE,6-3-1 KASHIWANOHA,KASHIWA-SHI,CHIBA-PREFECTURE,277-0882,JAPAN"	"10.1111/1556-4029.12370"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"TRACE PHYSICAL EVIDENCE;DISSOLUTION TEST;FORENSIC SCIENCE;ACRYLIC;FIBER;N;N-DIMETHYLFORMAMIDE;MODACRYLIC;ACRYLIC FIBER"
"A STUDY OF THE NUMERICAL DISTRIBUTION OF FIBRES TRANSFERRED FROM BLENDED FABRICS"	1986	"PARYBYK AE;LOKAN RJ"	""	""	"BLENDS;  COMPOSITION BY NUMBER;  DIFFERENTIAL TRANSFER;  FIBRES"	"ACRYL;NYLON;POLYESTER FIBER;UNCLASSIFIED DRUG;VISCOSE;CONTROLLED STUDY;COTTON;DIAGNOSIS;EDUCATION;ETIOLOGY;IDENTIFICATION;LEGAL ASPECT;NONHUMAN;PRELIMINARY COMMUNICATION;PRIORITY JOURNAL;TEXTILE FIBER;THEORETICAL STUDY;TRANSFER;WOOL"	NA	"FORENSIC SCIENCE CENTRE,21 DIVETT PLACE,ADELAIDE,SOUTH AUSTRALIA,5000,AUSTRALIA"	"FORENSIC SCIENCE CENTRE,21 DIVETT PLACE,ADELAIDE,SOUTH AUSTRALIA,5000,AUSTRALIA"	"10.1016/S0015-7368(86)72447-X"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"Scopus"	";BLENDS;COMPOSITION BY NUMBER;DIFFERENTIAL TRANSFER;FIBRES"
"A STUDY TO INVESTIGATE THE FEASIBILITY OF USING X-RAY FLUORESCENCE MICROANALYSIS TO IMPROVE DISCRIMINATION BETWEEN COLORLESS SYNTHETIC FIBERS"	1997	"CARTIER J;ROUX CP;GRIEVE MC"	"FORENSIC SCIENCE; CRIMINALISTICS; COLORLESS FIBERS; ACRYLIC; POLYESTER; BRIGHTFIELD MICROSCOPY; FLUORESCENCE MICROSCOPY; FOURIER TRANSFORM; INFRARED MICROSPECTROMETRY; X-RAY FLUORESCENCE MICROANALYSIS"	"INFRARED MICROSCOPY"	"ACRYLIC;  BRIGHTFIELD MICROSCOPY;  COLORLESS FIBERS;  CRIMINALISTICS;  FLUORESCENCE MICROSCOPY;  FORENSIC SCIENCE;  FOURIER TRANSFORM INFRARED MICROSPECTROMETRY;  POLYESTER;  X-RAY FLUORESCENCE MICROANALYSIS"	"ACRYLIC ACID;POLYESTER;ARTICLE;CRIME;FIBER;FORENSIC SCIENCE;FOURIER TRANSFORMATION;MICROANALYSIS;PRIORITY JOURNAL;SPECTROMETRY;X RAY FLUORESCENCE"	"UNIV TECHNOL SYDNEY,DEPT CHEM,BROADWAY,NSW 2007,AUSTRALIA; UNIV LAUSANNE,INST POLICE SCI \& CRIMINOL,BCH,CH-1015 LAUSANNE,SWITZERLAND; GERMAN FED POLICE OFF,FORENS SCI INST,TEXT KUNDE KT 33,D-65193 WIESBADEN,GERMANY"	"INST. POLICE SCI. ET DE CRIMINOLOGIE,UNIVERSITY OF LAUSANNE,UNIL-BCH,1015 LAUSANNE,SWITZERLAND; DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TECHNOLOGY SYDNEY,P.O. BOX 123,BROADWAY,NSW 2007,AUSTRALIA; TEXTILKUNDE KT 33,FORENSIC SCIENCE INSTITUTE,GERMAN FEDERAL POLICE OFFICE,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"INST. POLICE SCI. ET DE CRIMINOLOGIE,UNIVERSITY OF LAUSANNE,UNIL-BCH,1015 LAUSANNE,SWITZERLAND; DEPARTMENT OF CHEMISTRY,UNIVERSITY OF TECHNOLOGY SYDNEY,P.O. BOX 123,BROADWAY,NSW 2007,AUSTRALIA; TEXTILKUNDE KT 33,FORENSIC SCIENCE INSTITUTE,GERMAN FEDERAL POLICE OFFICE,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"10.1520/jfs14254j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;COLORLESS FIBERS;ACRYLIC;POLYESTER;BRIGHTFIELD MICROSCOPY;FLUORESCENCE MICROSCOPY;FOURIER TRANSFORM;INFRARED MICROSPECTROMETRY;X-RAY FLUORESCENCE MICROANALYSIS;FOURIER TRANSFORM INFRARED MICROSPECTROMETRY"
"A SURVEY OF EXTRACTION SOLVENTS IN THE FORENSIC ANALYSIS OF TEXTILE DYES"	2016	"GROVES E;PALENIK CS"	"FORENSIC SCIENCE; TRACE EVIDENCE; TEXTILE FIBERS; EXTRACTION; DYES; PYRIDINE:WATER"	"FIBERS; CLASSIFICATION; POLYACRYLONITRILE; NYLON; DISCRIMINATION;; POLYESTER; COTTON"	"DYES;  EXTRACTION;  FORENSIC SCIENCE;  PYRIDINE:WATER;  TEXTILE FIBERS;  TRACE EVIDENCE"	"ACETIC ACID;ACETONE;ALCOHOL;AMMONIA;ANILINE;CAPROLACTAM;CELLULASE;CHLOROBENZENE;CHLOROFORM;DYE;ETHYLENEDIAMINE;PYRIDINE;WATER;ARTICLE;CHEMICAL ANALYSIS;INFRARED SPECTROSCOPY;PRIORITY JOURNAL;RAMAN SPECTROMETRY;SOLVENT EXTRACTION;TEXTILE FIBER;TEXTILE INDUSTRY;THIN LAYER CHROMATOGRAPHY"	"GROVES, E (CORRESPONDING AUTHOR), MICROTRACE LLC, 790 FLETCHER DR,SUITE 106, ELGIN, IL 60123 USA; GROVES, ETHAN; PALENIK, CHRISTOPHER S; PALENIK, SKIP, MICROTRACE LLC, 790 FLETCHER DR,SUITE 106, ELGIN, IL 60123 USA"	"MICROTRACE LLC 790 FLETCHER DR.,SUITE 106,ELGIN,IL  60123,UNITED STATES"	"MICROTRACE LLC 790 FLETCHER DR.,SUITE 106,ELGIN,IL  60123,UNITED STATES"	"10.1016/j.forsciint.2016.03.043"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;TRACE EVIDENCE;TEXTILE FIBERS;EXTRACTION;DYES;PYRIDINE:WATER"
"A TARGET FIBER STUDY USING CINEMA AND CAR SEATS AS RECIPIENT ITEMS"	1996	"PALMER R;CHINHERENDE V"	"FORENSIC SCIENCE; CRIMINALITISTICS; FIBER TRANSFER; FIBERS; TARGET; STUDIES; CINEMA SEATS; CAR SEATS; ACRYLIC; COTTON"	""	"ACRYLIC;  CAR SEATS;  CINEMA SEATS;  COTTON;  CRIMINALITISTICS;  FIBER TRANSFER;  FIBERS;  FORENSIC SCIENCE;  TARGET STUDIES"	"ARTICLE;AUDIOVISUAL EQUIPMENT;CAR;CLOTHING;CRIMINOLOGY;FIBER;FORENSIC SCIENCE;PRIORITY JOURNAL"	"PALMER, R (CORRESPONDING AUTHOR), TAYSIDE POLICE HQ,POLICE FORENS SCI LAB,W BELL ST,DUNDEE DD1,SCOTLAND; FORENS SCI LAB,HARARE,ZIMBABWE"	"POLICE FORENSIC SCIENCE LABORATORY,TAYSIDE POLICE HQ,WEST BELL ST.,DUNDEE DD1,UNITED KINGDOM; FORENSIC SCIENCE LABORATORY,CAUSEWAY,HARARE,ZIMBABWE"	"POLICE FORENSIC SCIENCE LABORATORY,TAYSIDE POLICE HQ,WEST BELL ST.,DUNDEE DD1,UNITED KINGDOM; FORENSIC SCIENCE LABORATORY,CAUSEWAY,HARARE,ZIMBABWE"	"10.1520/jfs14001j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALITISTICS;FIBER TRANSFER;FIBERS;TARGET;STUDIES;CINEMA SEATS;CAR SEATS;ACRYLIC;COTTON;TARGET STUDIES"
"A TEXTILE FIBRE SURVEY AS AN AID TO THE INTERPRETATION OF FIBRE EVIDENCE IN THE SYDNEY REGION"	2001	"CANTRELL S;ROUX CP;MAYNARD P;ROBERTSON J"	""	""	"EVIDENTIAL VALUE;  FIBRES;  FREQUENCY;  POPULATION;  SURVEY"	"POLYESTER;ARTICLE;AUDIOVISUAL EQUIPMENT;AUSTRALIA;COLOR;COTTON;FIBER;FLUORESCENCE;POPULATION RESEARCH;PRIORITY JOURNAL;SEAT;TEXTILE;FORENSIC MEDICINE;HUMANS;TEXTILES"	NA	"DEPARTMENT OF CHEMISTRY,MATERIALS AND FORENSIC SCIENCE,UNIVERSITY OF TECHNOLOGY,P.O. BOX 123,BROADWAY,SYDNEY,NSW 2007,AUSTRALIA; FORENSIC SERVICES,AUSTRALIAN FEDERAL POLICE,G.P.O. BOX 401,CANBERRA,ACT 2601,AUSTRALIA"	"DEPARTMENT OF CHEMISTRY,MATERIALS AND FORENSIC SCIENCE,UNIVERSITY OF TECHNOLOGY,P.O. BOX 123,BROADWAY,SYDNEY,NSW 2007,AUSTRALIA; FORENSIC SERVICES,AUSTRALIAN FEDERAL POLICE,G.P.O. BOX 401,CANBERRA,ACT 2601,AUSTRALIA"	"10.1016/S0379-0738(01)00520-5"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";EVIDENTIAL VALUE;FIBRES;FREQUENCY;POPULATION;SURVEY"
"A WORKSHOP APPROACH TO IMPROVING THE UNDERSTANDING OF THE SIGNIFICANCE OF FIBRES EVIDENCE"	1993	"COOK R;EVETT LW;JACKSON G;ROGERS M"	""	""	"BAYESIAN;  FIBRES;  INTERPRETATION;  PERSISTENCE;  STATISTICS;  TRAINING;  TRANSFERENCE"	"ARTICLE;CASE STUDY;FIBER;FORENSIC IDENTIFICATION;SKILL;TRAINING;WORKSHOP"	NA	"METROPOLITAN POLICE FORENSIC SCIENCE LABORATORY,109 LAMBETH ROAD,LONDON,SE1 7LP,UNITED KINGDOM; FORENSIC SCIENCE SERVICE,CENTRAL RESEARCH AND SUPPORT ESTABLISHMENT,ALDERMASTON,READING,BERKSHIRE,RG7 4PN,CHORLEY LABORATORY,WASHINGTON HALL,EUXTON,CHORLEY,LANCASHIRE,PR7 6HJ,CHEPSTOW LABORATORY,USK ROAD,CHEPSTOW,GWENT,NP6 6YE,UNITED KINGDOM"	"METROPOLITAN POLICE FORENSIC SCIENCE LABORATORY,109 LAMBETH ROAD,LONDON,SE1 7LP,UNITED KINGDOM; FORENSIC SCIENCE SERVICE,CENTRAL RESEARCH AND SUPPORT ESTABLISHMENT,ALDERMASTON,READING,BERKSHIRE,RG7 4PN,CHORLEY LABORATORY,WASHINGTON HALL,EUXTON,CHORLEY,LANCASHIRE,PR7 6HJ,CHEPSTOW LABORATORY,USK ROAD,CHEPSTOW,GWENT,NP6 6YE,UNITED KINGDOM"	"10.1016/S0015-7368(93)72998-9"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"Scopus"	";BAYESIAN;FIBRES;INTERPRETATION;PERSISTENCE;STATISTICS;TRAINING;TRANSFERENCE"
"AN EVALUATION OF THE MAXCAN FIBRE FINDER VERSION 3.3 ON COTTON FIBRES"	2003	"LANGDON S;MAYNARD P;ROBERTSON J;ROUX CP"	""	""	"FIBRE FINDER SYSTEM;  MAXCAN SYSTEM;  TAPE LIFTS;  TRACE EVIDENCE"	"ARTICLE;COLOR;COTTON;EVALUATION;FIBER;FORENSIC MEDICINE;OPERATOR;PRIORITY JOURNAL;SWEDEN"	NA	"CENTRE FOR FORENSIC SCIENCE,UNIVERSITY OF TECHNOLOGY,SYDNEY,P.O. BOX 123,NSW 2007,AUSTRALIA; FORENSIC SERVICES,AUSTRALIAN FEDERAL POLICE,GPO BOX 401,CANBERRA,ACT 2601,AUSTRALIA; FORENSIC SERVICES GROUP,NEW SOUTH WALES POLICE SERVICE,NSW,AUSTRALIA"	"CENTRE FOR FORENSIC SCIENCE,UNIVERSITY OF TECHNOLOGY,SYDNEY,P.O. BOX 123,NSW 2007,AUSTRALIA; FORENSIC SERVICES,AUSTRALIAN FEDERAL POLICE,GPO BOX 401,CANBERRA,ACT 2601,AUSTRALIA; FORENSIC SERVICES GROUP,NEW SOUTH WALES POLICE SERVICE,NSW,AUSTRALIA"	"10.1016/S0379-0738(03)00180-4"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";FIBRE FINDER SYSTEM;MAXCAN SYSTEM;TAPE LIFTS;TRACE EVIDENCE"
"AN EVALUATION OF THE SIGNIFICANCE OF TRANSFERS OF DEBRIS: CRITERIA FOR ASSOCIATION AND EXCLUSION"	1999	"CWIKLIK C"	"FORENSIC SCIENCE; CRIMINALISTICS; TRACE EVIDENCE; TRANSFER; DEBRIS; DUST; PARTICLES; FIBERS; ASSOCIATIVE EVIDENCE; EVALUATION; MICROSCOPY; SETS; PROBABILITY; BAYES' THEOREM"	"FIBER TRANSFER EVIDENCE; TEXTILE FIBERS; SIMULATED CONTACTS; CAR SEATS;; SECONDARY TRANSFER; CLOTHING MATERIALS; TARGET FIBER; GLASS FRAGMENTS;; PERSISTENCE; HAIR"	"ASSOCIATIVE EVIDENCE;  BAYES' THEOREM;  CRIMINALISTICS;  DEBRIS;  DUST;  EVALUATION;  FIBERS;  FORENSIC SCIENCE;  MICROSCOPY;  PARTICLES;  PROBABILITY;  SETS;  TRACE EVIDENCE;  TRANSFER"	"ARTICLE;ASSOCIATION;BAYES THEOREM;DECISION MAKING;DUST;EVALUATION;PRIORITY JOURNAL;PROBABILITY"	"CWIKLIK, C (CORRESPONDING AUTHOR), CWIKLIK \& ASSOCIATES, MICROSCOPY \& FORENS CONSULTING, 2400 6TH AVE S 257, SEATTLE, WA 98134 USA; CWIKLIK \& ASSOCIATES, MICROSCOPY \& FORENS CONSULTING, SEATTLE, WA 98134 USA"	"2400 SIXTH AVENUE SOUTH #257,SEATTLE,WA,UNITED STATES; 2400 6TH AVENUE SOUTH #257,WA 98134,UNITED STATES"	"2400 SIXTH AVENUE SOUTH #257,SEATTLE,WA,UNITED STATES; 2400 6TH AVENUE SOUTH #257,WA 98134,UNITED STATES"	"10.1520/jfs14583j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;TRACE EVIDENCE;TRANSFER;DEBRIS;DUST;PARTICLES;FIBERS;ASSOCIATIVE EVIDENCE;EVALUATION;MICROSCOPY;SETS;PROBABILITY;BAYES' THEOREM"
"AN IMPROVED METHOD OF PREPARING FIBER CROSS SECTIONS"	1986	"GRIEVE MC;KOTOWSKI TM"	""	""	"CRIMINALISTICS;  CROSS-SECTIONS;  FIBERS"	"CONTROLLED STUDY;CROSS SECTION;DIAGNOSIS;EDUCATION;ETIOLOGY;IDENTIFICATION;NONHUMAN;PRELIMINARY COMMUNICATION;PRIORITY JOURNAL;STAINING;TEXTILE FIBER;THEORETICAL STUDY"	NA	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,FRANKFURT AM MAIN,GERMANY"	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,FRANKFURT AM MAIN,GERMANY"	"10.1016/S0015-7368(86)72443-2"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	"Scopus"	";CRIMINALISTICS;CROSS-SECTIONS;FIBERS"
"AN INDEX OF TEXTILE FIBRES INTRODUCED DURING THE LAST DECADE"	1992	"GRIEVE MC"	""	""	"FIBRES;  GENERIC TYPES;  MANUFACTURERS;  TRADE NAMES"	"ARTICLE;EXAMINATION;REFERENCE VALUE;TEXTILE"	NA	"USACIL-EUROPE,BETTS AREA,272 FRIEDBERGER LANDSTRASSE,FRANKFURT/MAIN,GERMANY"	"USACIL-EUROPE,BETTS AREA,272 FRIEDBERGER LANDSTRASSE,FRANKFURT/MAIN,GERMANY"	"10.1016/S0015-7368(92)73044-8"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	"Scopus"	";FIBRES;GENERIC TYPES;MANUFACTURERS;TRADE NAMES"
"AN INVESTIGATION INTO SECONDARY TRANSFERTHE TRANSFER OF TEXTILE FIBRES TO SEATS"	2017	"PALMER R;SHERIDAN K;PUCKETT J;RICHARDSON N;LO W"	""	""	"FIBRES;  INTERPRETATION;  PERSISTENCE;  SEATS;  SECONDARY TRANSFER"	"POLYESTER;ARTICLE;CLOTHING;CONTROLLED STUDY;COTTON;CRIME;EXPERIMENTAL DESIGN;FORENSIC IDENTIFICATION;LEGAL EVIDENCE;PRIORITY JOURNAL;SEAT;TEXTILE FIBER;TIME FACTOR"	NA	"THE FORENSIC SCIENCE UNIT,FACULTY OF HEALTH AND LIFE SCIENCES,NORTHUMBRIA UNIVERSITY,ELLISON BUILDING,NEWCASTLE UPON TYNE,UNITED KINGDOM"	"THE FORENSIC SCIENCE UNIT,FACULTY OF HEALTH AND LIFE SCIENCES,NORTHUMBRIA UNIVERSITY,ELLISON BUILDING,NEWCASTLE UPON TYNE,UNITED KINGDOM"	"10.1016/j.forsciint.2017.07.035"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";FIBRES;INTERPRETATION;PERSISTENCE;SEATS;SECONDARY TRANSFER"
